Column1,Column2
0.3008,0.06189999999999998
0.30110000000000003,0.06229999999999998
0.3017,0.06259999999999998
0.30250000000000005,0.06269999999999998
0.30210000000000004,0.06339999999999998
0.3023,0.06419999999999998
0.3043,0.06379999999999998
0.3027,0.06319999999999998
0.3022,0.06379999999999998
0.3022,0.06349999999999999
0.3012,0.06429999999999998
0.30050000000000004,0.06349999999999999
0.3012,0.06359999999999999
0.30050000000000004,0.0638
0.30040000000000006,0.0638
0.30030000000000007,0.0639
0.3007000000000001,0.06369999999999999
0.30040000000000006,0.06309999999999999
0.3007000000000001,0.06289999999999998
0.3016000000000001,0.06259999999999999
0.3026000000000001,0.06189999999999999
0.30280000000000007,0.06219999999999999
0.3031000000000001,0.06159999999999999
0.3030000000000001,0.06139999999999999
0.3024000000000001,0.06189999999999999
0.3015000000000001,0.06239999999999999
0.3019000000000001,0.06179999999999999
0.3025000000000001,0.06139999999999999
0.3026000000000001,0.06069999999999999
0.30330000000000007,0.05989999999999999
0.30390000000000006,0.06039999999999999
0.30390000000000006,0.05969999999999999
0.30290000000000006,0.05989999999999999
0.30280000000000007,0.059799999999999985
0.3036000000000001,0.058799999999999984
0.3031000000000001,0.05819999999999998
0.3026000000000001,0.05769999999999998
0.3032000000000001,0.05819999999999998
0.30240000000000006,0.05779999999999998
0.3017000000000001,0.057399999999999986
0.30130000000000007,0.057399999999999986
0.3007000000000001,0.057399999999999986
0.30030000000000007,0.05679999999999998
0.29900000000000004,0.057099999999999984
0.2987,0.05819999999999998
0.2984,0.05819999999999998
0.2989,0.05759999999999998
0.2982,0.05759999999999998
0.2973,0.057799999999999976
0.2962,0.057799999999999976
0.29600000000000004,0.05829999999999998
0.2957,0.05829999999999998
0.29550000000000004,0.059199999999999975
0.2972,0.05929999999999998
0.2974,0.059499999999999977
0.2968,0.05979999999999998
0.29710000000000003,0.06099999999999998
0.2973,0.06109999999999998
0.298,0.061199999999999984
0.29769999999999996,0.06089999999999998
0.29639999999999994,0.06059999999999998
0.29719999999999996,0.06079999999999998
0.29739999999999994,0.06109999999999998
0.29779999999999995,0.06079999999999998
0.29769999999999996,0.06059999999999998
0.298,0.061199999999999984
0.29769999999999996,0.059599999999999986
0.2965,0.060299999999999986
0.29619999999999996,0.059799999999999985
0.29679999999999995,0.05989999999999999
0.2976,0.059799999999999985
0.298,0.06009999999999999
0.2981,0.059599999999999986
0.29719999999999996,0.05969999999999999
0.2985,0.05979999999999999
0.298,0.05919999999999999
0.2981,0.05899999999999999
0.29669999999999996,0.05909999999999999
0.2965,0.059199999999999996
0.2964,0.059199999999999996
0.2968,0.058699999999999995
0.296,0.057999999999999996
0.2963,0.057199999999999994
0.2954,0.05669999999999999
0.2946,0.05639999999999999
0.29429999999999995,0.05609999999999999
0.2951,0.05609999999999999
0.29419999999999996,0.05609999999999999
0.29419999999999996,0.05659999999999999
0.294,0.05569999999999999
0.2941,0.056499999999999995
0.294,0.05639999999999999
0.29519999999999996,0.056999999999999995
0.29579999999999995,0.0578
0.2961,0.0576
0.29669999999999996,0.0564
0.2971,0.0564
0.29719999999999996,0.0552
0.29689999999999994,0.0547
0.29579999999999995,0.0545
0.29549999999999993,0.0537
0.29479999999999995,0.0538
0.29469999999999996,0.0539
0.2945,0.054200000000000005
0.29369999999999996,0.05430000000000001
0.29419999999999996,0.05410000000000001
0.29479999999999995,0.05360000000000001
0.29419999999999996,0.05420000000000001
0.2945,0.05440000000000001
0.2939,0.05370000000000001
0.2928,0.05340000000000001
0.2931,0.05380000000000001
0.2933,0.05380000000000001
0.29410000000000003,0.053500000000000006
0.29400000000000004,0.05330000000000001
0.2932,0.054200000000000005
0.29350000000000004,0.054700000000000006
0.29390000000000005,0.0551
0.29390000000000005,0.0548
0.2936,0.0555
0.2937,0.0552
0.29410000000000003,0.054599999999999996
0.2938,0.0544
0.2933,0.054099999999999995
0.2929,0.054099999999999995
0.2924,0.05399999999999999
0.2914,0.054099999999999995
0.2919,0.05449999999999999
0.2918,0.054799999999999995
0.2912,0.05469999999999999
0.2908,0.05419999999999999
0.2906,0.05419999999999999
0.2901,0.05419999999999999
0.29090000000000005,0.05399999999999999
0.2901,0.05369999999999999
0.2898,0.05369999999999999
0.2892,0.05359999999999999
0.2887,0.05429999999999999
0.2891,0.05479999999999999
0.28890000000000005,0.05439999999999999
0.28850000000000003,0.05399999999999999
0.2881,0.05419999999999999
0.2882,0.05439999999999999
0.2871,0.05489999999999999
0.28650000000000003,0.05499999999999999
0.2867,0.05519999999999999
0.2871,0.05499999999999999
0.28800000000000003,0.05439999999999999
0.28730000000000006,0.05389999999999999
0.28700000000000003,0.05389999999999999
0.2866,0.05419999999999999
0.28690000000000004,0.05399999999999999
0.28700000000000003,0.054599999999999996
0.28590000000000004,0.0547
0.28680000000000005,0.0549
0.28690000000000004,0.0552
0.28630000000000005,0.0545
0.28730000000000006,0.0543
0.2871000000000001,0.055
0.2866000000000001,0.0549
0.28620000000000007,0.0552
0.2855000000000001,0.0554
0.2855000000000001,0.0552
0.2845000000000001,0.0553
0.28470000000000006,0.055
0.28530000000000005,0.0544
0.28540000000000004,0.054799999999999995
0.28520000000000006,0.05519999999999999
0.2860000000000001,0.05569999999999999
0.2855000000000001,0.05609999999999999
0.2858000000000001,0.05629999999999999
0.28560000000000013,0.05529999999999999
0.2857000000000001,0.05549999999999999
0.28550000000000014,0.055699999999999986
0.28550000000000014,0.05599999999999999
0.2857000000000001,0.05609999999999999
0.2857000000000001,0.05709999999999999
0.28550000000000014,0.05729999999999999
0.28500000000000014,0.05729999999999999
0.2852000000000001,0.05699999999999999
0.2842000000000001,0.05609999999999999
0.2839000000000001,0.05629999999999999
0.2830000000000001,0.05769999999999999
0.28220000000000006,0.05719999999999999
0.28120000000000006,0.05769999999999999
0.28090000000000004,0.05839999999999999
0.28020000000000006,0.05919999999999999
0.28130000000000005,0.05839999999999999
0.2821000000000001,0.05849999999999999
0.28130000000000005,0.057899999999999986
0.2821000000000001,0.05779999999999998
0.2815000000000001,0.05839999999999999
0.28070000000000006,0.059099999999999986
0.28030000000000005,0.060499999999999984
0.2805,0.060999999999999985
0.2796,0.06089999999999998
0.2797,0.06059999999999998
0.2794,0.06069999999999998
0.2792,0.05969999999999998
0.2779,0.059999999999999984
0.27609999999999996,0.059799999999999985
0.27649999999999997,0.05889999999999999
0.2759,0.05839999999999999
0.27499999999999997,0.05779999999999998
0.27399999999999997,0.05819999999999998
0.2748,0.05789999999999998
0.2749,0.05879999999999998
0.2754,0.05939999999999998
0.27449999999999997,0.05939999999999998
0.2748,0.05979999999999998
0.2742,0.060199999999999976
0.2741,0.05999999999999998
0.2742,0.06029999999999998
0.2732,0.06029999999999998
0.274,0.06079999999999998
0.2747,0.06139999999999998
0.275,0.06189999999999998
0.2747,0.06299999999999999
0.2756,0.06369999999999999
0.2755,0.0638
0.2752,0.06409999999999999
0.2749,0.0633
0.2743,0.064
0.2742,0.0637
0.2735,0.0632
0.274,0.062200000000000005
0.2746,0.0627
0.2743,0.06280000000000001
0.2741,0.06290000000000001
0.2737,0.06390000000000001
0.2735,0.06360000000000002
0.2731,0.06320000000000002
0.2738,0.06320000000000002
0.2743,0.06250000000000001
0.27399999999999997,0.06400000000000002
0.27399999999999997,0.06450000000000002
0.27459999999999996,0.06390000000000001
0.27429999999999993,0.06300000000000001
0.27459999999999996,0.06370000000000002
0.27319999999999994,0.06380000000000002
0.27269999999999994,0.06420000000000002
0.2728999999999999,0.06520000000000002
0.2723999999999999,0.06550000000000002
0.2728999999999999,0.06520000000000002
0.27329999999999993,0.06510000000000002
0.27319999999999994,0.06560000000000002
0.27229999999999993,0.06590000000000001
0.2723999999999999,0.06660000000000002
0.2730999999999999,0.06720000000000002
0.2744999999999999,0.06760000000000002
0.2741999999999999,0.06750000000000002
0.2745999999999999,0.06840000000000002
